Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression- Landing Page,Chrome 68.0.3440.106,,2018-09-13 16:05:43,2018-09-13 16:06:18,35.288s,PASSED
,,,,,,
Test Cases/1. Login_Logout/Login- Standard Admin,Chrome 68.0.3440.106,,2018-09-13 16:05:43,2018-09-13 16:05:57,13.791s,PASSED
Statement - log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 68.0.3440.106,,2018-09-13 16:05:43,2018-09-13 16:05:43,0.003s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-13 16:05:43,2018-09-13 16:05:47,4.323s,PASSED
"Statement - log.logWarning(""URL in Use: "" + baseURL)",Chrome 68.0.3440.106,,2018-09-13 16:05:47,2018-09-13 16:05:47,0.002s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-13 16:05:47,2018-09-13 16:05:47,0.151s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-13 16:05:47,2018-09-13 16:05:48,1.022s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-13 16:05:48,2018-09-13 16:05:49,0.294s,PASSED
click,Chrome 68.0.3440.106,,2018-09-13 16:05:49,2018-09-13 16:05:49,0.120s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-13 16:05:49,2018-09-13 16:05:51,2.003s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-13 16:05:51,2018-09-13 16:05:51,0.142s,PASSED
click,Chrome 68.0.3440.106,,2018-09-13 16:05:51,2018-09-13 16:05:51,0.098s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-13 16:05:51,2018-09-13 16:05:56,5.001s,PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyTextNotPresent(""Sign in to Continue"", false, OPTIONAL))",Chrome 68.0.3440.106,,2018-09-13 16:05:56,2018-09-13 16:05:57,0.467s,PASSED
,,,,,,
Test Cases/2. Landing Page/Verify- Available Screens,Chrome 68.0.3440.106,,2018-09-13 16:05:57,2018-09-13 16:06:01,4.490s,PASSED
Statement - log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 68.0.3440.106,,2018-09-13 16:05:57,2018-09-13 16:05:57,0.001s,PASSED
