Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression- My Account- Roles,Chrome 68.0.3440.106,,2018-09-14 17:42:20,2018-09-14 17:44:13,1m - 53.233s,ERROR
,,,,,,
Test Cases/1. Login_Logout/Login- Standard Admin,Chrome 68.0.3440.106,,2018-09-14 17:42:20,2018-09-14 17:42:32,11.612s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 68.0.3440.106,,2018-09-14 17:42:20,2018-09-14 17:42:20,0.020s,PASSED
Statement - log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 68.0.3440.106,,2018-09-14 17:42:20,2018-09-14 17:42:20,0.002s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-14 17:42:20,2018-09-14 17:42:26,5.176s,PASSED
"Statement - log.logWarning(""URL in Use: "" + baseURL)",Chrome 68.0.3440.106,,2018-09-14 17:42:26,2018-09-14 17:42:26,0.001s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-14 17:42:26,2018-09-14 17:42:26,0.189s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-14 17:42:26,2018-09-14 17:42:27,1.021s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-14 17:42:27,2018-09-14 17:42:27,0.297s,PASSED
click,Chrome 68.0.3440.106,,2018-09-14 17:42:27,2018-09-14 17:42:27,0.118s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-14 17:42:27,2018-09-14 17:42:29,2.002s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-14 17:42:29,2018-09-14 17:42:29,0.137s,PASSED
click,Chrome 68.0.3440.106,,2018-09-14 17:42:29,2018-09-14 17:42:29,0.088s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-14 17:42:29,2018-09-14 17:42:31,2.025s,PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyTextNotPresent(""Sign in to Continue"", false, OPTIONAL))",Chrome 68.0.3440.106,,2018-09-14 17:42:31,2018-09-14 17:42:32,0.437s,PASSED
Start listener action : sampleAfterTestCase,Chrome 68.0.3440.106,,2018-09-14 17:42:32,2018-09-14 17:42:32,0.002s,PASSED
,,,,,,
